salesid,listid,sellerid,buyerid,eventid,dateid,qtysold,pricepaid,commission,saletime
3501,3774,17516,38,1421,1866,2,362.00,54.30,2008-02-09 06:56:23
230,238,8356,4892,6052,1867,2,450.00,67.50,2008-02-10 05:53:17
267,270,8786,3418,6141,1867,2,232.00,34.80,2008-02-10 01:15:55
637,649,45192,28965,3313,1867,1,152.00,22.80,2008-02-10 10:32:27
1584,1691,656,32858,2260,1867,1,143.00,21.45,2008-02-10 05:30:28
2723,2934,13682,24791,3659,1867,2,52.00,7.80,2008-02-10 07:33:25
107,126,48593,12142,747,1868,1,240.00,36.00,2008-02-11 06:15:35
329,329,9502,23125,3158,1868,2,82.00,12.30,2008-02-11 10:13:34
370,364,30532,10016,5303,1868,1,20.00,3.00,2008-02-11 03:20:08
838,852,18063,15086,6934,1868,2,114.00,17.10,2008-02-11 06:36:49
858,871,35322,21623,6709,1868,2,164.00,24.60,2008-02-11 08:32:12
1692,1798,14627,9375,7529,1868,1,70.00,10.50,2008-02-11 12:22:27
1701,1805,9665,14050,2654,1868,1,41.00,6.15,2008-02-11 01:04:42
1890,2025,49458,3708,2819,1868,1,244.00,36.60,2008-02-11 11:44:33
3186,3419,9449,3381,2092,1868,3,417.00,62.55,2008-02-11 06:11:23
1716,1828,1402,25333,2350,1869,2,306.00,45.90,2008-02-12 01:46:44
2629,2820,35521,8261,5876,1869,2,276.00,41.40,2008-02-12 03:10:55
3163,3396,17486,3411,910,1869,1,228.00,34.20,2008-02-12 05:09:27
3383,3666,38451,7134,834,1869,2,370.00,55.50,2008-02-12 02:00:56
280,282,14585,13050,7266,1870,2,146.00,21.90,2008-02-13 03:09:56
618,627,36284,14163,2906,1870,1,192.00,28.80,2008-02-13 08:38:08
3144,3368,34866,3557,3590,1870,3,603.00,90.45,2008-02-13 04:34:37
3290,3560,21680,15375,3840,1870,3,657.00,98.55,2008-02-13 10:22:03
3536,3814,13955,11226,3840,1870,4,696.00,104.40,2008-02-13 08:42:08
108,126,48593,14838,747,1871,3,720.00,108.00,2008-02-14 06:51:59
796,817,35183,3726,6805,1871,1,89.00,13.35,2008-02-14 02:53:09
2106,2249,12579,8627,4206,1871,2,450.00,67.50,2008-02-14 12:16:14
3446,3723,4167,1492,6405,1871,2,296.00,44.40,2008-02-14 04:49:27
3494,3767,27100,25902,5687,1871,1,186.00,27.90,2008-02-14 06:40:56
1494,1576,39493,13020,2647,1872,1,176.00,26.40,2008-02-15 10:43:36
1666,1766,19553,21593,1670,1872,1,205.00,30.75,2008-02-15 10:02:28
1789,1903,42505,5776,2645,1872,4,212.00,31.80,2008-02-15 06:10:43
2705,2909,35407,9422,4187,1872,2,46.00,6.90,2008-02-15 06:41:44
66,79,43637,4892,2267,1873,2,484.00,72.60,2008-02-16 06:21:51
2584,2771,26881,25758,3031,1873,2,282.00,42.30,2008-02-16 01:10:55
2724,2934,13682,29172,3659,1873,1,26.00,3.90,2008-02-16 07:56:31
3445,3723,4167,2858,6405,1873,4,592.00,88.80,2008-02-16 04:48:41
109,126,48593,17433,747,1874,2,480.00,72.00,2008-02-17 06:57:16
266,270,8786,9609,6141,1874,1,116.00,17.40,2008-02-17 01:11:31
497,500,32297,28557,7787,1874,4,428.00,64.20,2008-02-17 06:39:01
1359,1435,17619,14550,5303,1874,1,225.00,33.75,2008-02-17 12:28:01
2259,2435,43436,12675,6940,1874,3,177.00,26.55,2008-02-17 08:23:41
3284,3548,43255,2236,91,1874,1,47.00,7.05,2008-02-17 10:13:53
1,1,36861,21191,7872,1875,4,728.00,109.20,2008-02-18 02:36:48
279,282,14585,17441,7266,1875,1,73.00,10.95,2008-02-18 03:06:31
709,732,8910,39585,2703,1875,2,234.00,35.10,2008-02-18 05:53:42
1907,2041,6438,11181,1311,1875,1,25.00,3.75,2008-02-18 12:26:08
3381,3664,13532,32872,8279,1875,4,708.00,106.20,2008-02-18 01:47:43
3515,3788,9521,14619,5703,1875,1,245.00,36.75,2008-02-18 07:36:47
1177,1221,233,14705,7973,1876,1,160.00,24.00,2008-02-19 11:10:46
1700,1805,9665,20059,2654,1876,2,82.00,12.30,2008-02-19 01:03:21
3013,3206,32950,3421,6037,1876,4,512.00,76.80,2008-02-19 09:39:48
235,242,25271,4855,7669,1877,2,444.00,66.60,2008-02-20 06:56:19
1208,1265,47208,700,7482,1877,4,172.00,25.80,2008-02-20 01:43:52
2856,3052,6529,7863,1475,1877,2,64.00,9.60,2008-02-20 02:17:38
3069,3288,9532,21169,7593,1877,2,68.00,10.20,2008-02-20 01:00:00
3164,3396,17486,10268,910,1877,2,456.00,68.40,2008-02-20 05:10:01
3355,3626,15079,5999,1942,1877,1,73.00,10.95,2008-02-20 12:50:42
840,852,18063,23378,6934,1878,3,171.00,25.65,2008-02-21 06:46:59
3502,3774,17516,10045,1421,1878,1,181.00,27.15,2008-02-21 07:03:24
58,64,18073,2575,5872,1879,1,88.00,13.20,2008-02-22 02:51:57
1352,1420,9706,36390,2638,1879,4,908.00,136.20,2008-02-22 12:06:01
1512,1601,29659,1065,938,1879,3,147.00,22.05,2008-02-22 12:15:29
1569,1670,28211,22881,7843,1879,2,54.00,8.10,2008-02-22 04:46:55
1724,1833,604,13809,8109,1879,1,31.00,4.65,2008-02-22 02:17:36
2855,3052,6529,9554,1475,1879,1,32.00,4.80,2008-02-22 02:16:49
3354,3626,15079,8234,1942,1879,2,146.00,21.90,2008-02-22 12:48:58
3619,3909,37082,21961,1611,1879,4,572.00,85.80,2008-02-22 11:41:10
857,871,35322,31392,6709,1880,4,328.00,49.20,2008-02-23 08:27:09
820,836,29657,16215,4420,1881,2,214.00,32.10,2008-02-24 05:26:55
839,852,18063,26282,6934,1881,1,57.00,8.55,2008-02-24 06:39:24
1627,1741,38657,904,5043,1881,2,146.00,21.90,2008-02-24 07:25:59
1722,1833,604,15708,8109,1881,4,124.00,18.60,2008-02-24 02:12:48
2200,2371,30382,29718,4933,1881,1,62.00,9.30,2008-02-24 05:39:44
2515,2687,29895,27494,722,1881,4,776.00,116.40,2008-02-24 10:22:19
3202,3434,36445,9636,7210,1881,4,892.00,133.80,2008-02-24 06:47:25
3369,3648,33479,14212,1010,1881,1,56.00,8.40,2008-02-24 01:21:04
369,364,30532,21976,5303,1882,2,40.00,6.00,2008-02-25 03:19:54
507,511,46104,6860,2776,1882,1,80.00,12.00,2008-02-25 07:52:05
1134,1176,37614,301,5414,1828,1,218.00,32.70,2008-01-02 08:22:32
1924,2067,27144,256,6977,1828,2,494.00,74.10,2008-01-02 01:11:16
2697,2904,10412,814,3228,1829,4,464.00,69.60,2008-01-03 06:23:46
1075,1092,13787,729,6513,1833,1,139.00,20.85,2008-01-07 03:42:08
2873,3071,25287,2605,4849,1833,2,322.00,48.30,2008-01-07 03:38:31
3076,3291,14534,1648,1491,1833,1,82.00,12.30,2008-01-07 01:23:00
1226,1288,22585,4289,3189,1834,3,180.00,27.00,2008-01-08 03:13:48
756,776,20797,7170,1811,1835,2,266.00,39.90,2008-01-09 10:10:30
1057,1071,19593,6410,95,1835,2,88.00,13.20,2008-01-09 01:51:17
2633,2825,29672,4223,6521,1835,2,366.00,54.90,2008-01-09 03:23:26
1133,1176,37614,7351,5414,1836,2,436.00,65.40,2008-01-10 08:20:07
1074,1092,13787,4555,6513,1838,4,556.00,83.40,2008-01-12 03:39:52
2486,2659,5910,8627,2890,1838,2,476.00,71.40,2008-01-12 08:55:59
2933,3137,42553,3908,3189,1838,3,243.00,36.45,2008-01-12 06:06:19
25,23,4820,5223,7116,1839,2,258.00,38.70,2008-01-13 11:14:10
1945,2092,42560,10059,8609,1839,3,582.00,87.30,2008-01-13 02:22:11
1058,1071,19593,10792,95,1840,3,132.00,19.80,2008-01-14 01:51:25
1084,1116,17852,6569,1745,1840,2,302.00,45.30,2008-01-14 04:35:35
2454,2627,38477,1285,4556,1840,2,192.00,28.80,2008-01-14 06:54:01
2913,3106,20596,9347,1815,1840,4,468.00,70.20,2008-01-14 05:12:29
607,614,25339,12134,770,1841,2,472.00,70.80,2008-01-15 07:15:13
1175,1220,15780,2671,4185,1841,1,119.00,17.85,2008-01-15 11:07:17
2060,2208,3127,7856,1553,1841,1,154.00,23.10,2008-01-15 09:16:24
2981,3176,13694,7951,7671,1842,3,261.00,39.15,2008-01-16 08:13:52
3075,3291,14534,9033,1491,1842,2,164.00,24.60,2008-01-16 01:20:44
1377,1458,38681,4223,2360,1843,2,158.00,23.70,2008-01-17 01:23:14
2116,2263,41085,1121,1020,1843,4,256.00,38.40,2008-01-17 01:07:02
1038,1053,18961,8566,2067,1844,2,500.00,75.00,2008-01-18 12:42:44
2992,3191,38488,8303,3497,1844,1,159.00,23.85,2008-01-18 08:37:22
811,827,2366,8204,1664,1845,1,53.00,7.95,2008-01-19 04:29:22
1132,1176,37614,14462,5414,1845,3,654.00,98.10,2008-01-19 08:18:09
1864,1977,29488,13137,5081,1845,1,174.00,26.10,2008-01-19 10:18:50
1881,2002,18602,10424,2091,1845,2,394.00,59.10,2008-01-19 11:25:06
2329,2499,287,14070,4415,1845,3,711.00,106.65,2008-01-19 12:20:54
2936,3137,42553,9229,3189,1845,1,81.00,12.15,2008-01-19 06:11:30
3365,3638,47044,11377,6717,1846,3,558.00,83.70,2008-01-20 01:16:51
690,709,22357,1771,2143,1847,1,51.00,7.65,2008-01-21 04:31:42
1076,1092,13787,12415,6513,1847,2,278.00,41.70,2008-01-21 03:42:21
1165,1216,36299,2575,7330,1847,1,216.00,32.40,2008-01-21 10:20:32
1199,1249,41506,6273,1953,1847,1,248.00,37.20,2008-01-21 12:46:25
1203,1253,32913,8627,4486,1847,2,170.00,25.50,2008-01-21 01:12:56
1470,1554,9896,11096,935,1847,1,60.00,9.00,2008-01-21 08:54:50
1499,1579,2027,11062,4776,1847,4,1000.00,150.00,2008-01-21 11:19:29
1868,1990,38539,2635,2337,1847,4,260.00,39.00,2008-01-21 10:34:00
1227,1288,22585,16639,3189,1848,2,120.00,18.00,2008-01-22 03:14:08
1534,1628,43291,9033,2874,1848,2,136.00,20.40,2008-01-22 02:10:02
3005,3200,8684,14727,5863,1848,1,151.00,22.65,2008-01-22 09:27:45
3221,3464,34713,15055,7591,1848,1,120.00,18.00,2008-01-22 07:44:11
566,569,42043,1932,1805,1849,4,308.00,46.20,2008-01-23 02:41:24
932,942,20265,16479,464,1849,1,151.00,22.65,2008-01-23 03:10:56
1824,1943,6564,10533,7076,1849,2,152.00,22.80,2008-01-23 07:58:53
1825,1943,6564,10509,7076,1849,4,304.00,45.60,2008-01-23 08:00:16
1922,2067,27144,17699,6977,1849,1,247.00,37.05,2008-01-23 01:09:04
558,562,19717,4223,1096,1850,2,256.00,38.40,2008-01-24 01:47:48
2491,2667,13724,3151,8186,1850,2,174.00,26.10,2008-01-24 09:24:58
2812,3006,27639,12214,8186,1850,1,210.00,31.50,2008-01-24 12:20:22
3364,3638,47044,14842,6717,1850,2,372.00,55.80,2008-01-24 01:13:50
1085,1116,17852,15267,1745,1851,1,151.00,22.65,2008-01-25 04:42:32
1856,1972,46588,15925,4766,1851,2,368.00,55.20,2008-01-25 09:54:53
2522,2697,42297,1639,8345,1851,2,100.00,15.00,2008-01-25 10:46:01
1867,1990,38539,7416,2337,1852,1,65.00,9.75,2008-01-26 10:30:11
2266,2442,32939,6062,4577,1852,1,58.00,8.70,2008-01-26 08:53:55
1204,1253,32913,13882,4486,1853,4,340.00,51.00,2008-01-27 01:15:26
1391,1477,26200,2703,7704,1853,1,53.00,7.95,2008-01-27 02:18:14
1923,2067,27144,21128,6977,1853,4,988.00,148.20,2008-01-27 01:10:47
328,328,8489,9899,3552,1854,1,181.00,27.15,2008-01-28 10:13:32
519,525,15304,7889,4924,1854,1,124.00,18.60,2008-01-28 09:11:54
520,525,15304,7888,4924,1854,2,248.00,37.20,2008-01-28 09:12:17
1526,1613,33523,4104,5798,1854,2,80.00,12.00,2008-01-28 01:43:37
569,576,43103,8481,2221,1855,1,24.00,3.60,2008-01-29 02:56:33
2991,3191,38488,17025,3497,1855,2,318.00,47.70,2008-01-29 08:35:03
1016,1028,49913,19452,4480,1856,2,104.00,15.60,2008-01-30 10:33:02
2267,2442,32939,9338,4577,1856,2,116.00,17.40,2008-01-30 08:54:36
2811,3006,27639,17450,8186,1856,3,630.00,94.50,2008-01-30 12:19:08
3026,3223,20932,2956,8296,1856,2,104.00,15.60,2008-01-30 10:08:50
3074,3291,14534,20539,1491,1856,4,328.00,49.20,2008-01-30 01:17:08
799,819,2219,6273,2662,1857,1,219.00,32.85,2008-01-31 03:53:02
1164,1216,36299,11219,7330,1857,2,432.00,64.80,2008-01-31 10:09:37
1739,1846,36751,22130,7061,1857,4,516.00,77.40,2008-01-31 03:22:36
2247,2423,2577,8197,777,1857,1,114.00,17.10,2008-01-31 07:44:07
3088,3308,459,17985,6823,1857,1,40.00,6.00,2008-01-31 01:42:35
243,255,26193,25619,7143,1858,4,224.00,33.60,2008-02-01 07:48:47
812,827,2366,18655,1664,1858,2,106.00,15.90,2008-02-01 04:33:20
1183,1233,27749,20105,5928,1858,4,896.00,134.40,2008-02-01 11:48:11
1517,1606,18892,14212,5497,1858,1,161.00,24.15,2008-02-01 12:32:38
3599,3884,34592,9227,7143,1858,1,34.00,5.10,2008-02-01 11:09:35
242,255,26193,26294,7143,1859,1,56.00,8.40,2008-02-02 07:42:32
567,573,21243,2703,1086,1859,1,24.00,3.60,2008-02-02 02:44:00
2789,2989,13451,8199,2071,1859,2,188.00,28.20,2008-02-02 10:56:44
153,162,27703,7162,2906,1860,2,284.00,42.60,2008-02-03 05:20:30
535,537,43782,2408,6510,1860,4,596.00,89.40,2008-02-03 10:14:28
634,647,40576,17510,3674,1860,2,466.00,69.90,2008-02-03 10:07:42
798,819,2219,8504,2662,1860,2,438.00,65.70,2008-02-03 03:49:18
1903,2040,49765,301,1797,1882,1,30.00,4.50,2008-02-25 12:18:59
2395,2560,3944,13413,3394,1882,3,237.00,35.55,2008-02-25 03:41:30
2875,3073,7035,10424,213,1882,2,154.00,23.10,2008-02-25 03:41:36
2975,3168,32010,18063,5687,1882,4,312.00,46.80,2008-02-25 07:51:15
179,181,22001,3418,1953,1883,2,458.00,68.70,2008-02-26 10:47:53
1906,2041,6438,17822,1311,1883,2,50.00,7.50,2008-02-26 12:24:22
3158,3391,29001,27035,1953,1883,2,170.00,25.50,2008-02-26 04:53:25
3368,3648,33479,16271,1010,1883,2,112.00,16.80,2008-02-26 01:19:15
83,106,12538,7079,250,1884,1,109.00,16.35,2008-02-27 11:58:35
427,430,46248,5563,5678,1884,1,219.00,32.85,2008-02-27 10:33:04
1693,1798,14627,22798,7529,1884,4,280.00,42.00,2008-02-27 12:24:36
1999,2144,21473,286,923,1884,1,79.00,11.85,2008-02-27 05:48:40
2256,2428,35734,1645,6093,1884,1,31.00,4.65,2008-02-27 08:13:57
2314,2483,44817,11181,3050,1884,1,102.00,15.30,2008-02-27 11:04:00
3201,3434,36445,11673,7210,1884,2,446.00,66.90,2008-02-27 06:42:50
3240,3486,44866,44206,302,1884,1,243.00,36.45,2008-02-27 08:07:45
1723,1833,604,18588,8109,1885,2,62.00,9.30,2008-02-28 02:15:05
1751,1861,8993,6303,159,1885,1,247.00,37.05,2008-02-28 04:15:15
1998,2144,21473,1092,923,1885,2,158.00,23.70,2008-02-28 05:46:46
2663,2875,6114,3517,2089,1885,2,156.00,23.40,2008-02-28 04:44:14
3159,3391,29001,28680,1953,1885,1,85.00,12.75,2008-02-28 04:58:06
459,457,6496,4673,6953,1886,1,30.00,4.50,2008-03-01 02:50:52
1210,1265,47208,8204,7482,1886,1,43.00,6.45,2008-03-01 01:53:13
2348,2517,3043,29620,4719,1886,1,85.00,12.75,2008-03-01 01:03:14
2784,2986,25236,6151,30,1886,2,348.00,52.20,2008-03-01 10:39:53
2868,3065,48246,1714,6784,1886,4,976.00,146.40,2008-03-01 03:10:29
57,64,18073,9477,5872,1887,4,352.00,52.80,2008-03-02 02:28:49
1360,1435,17619,25624,5303,1887,2,450.00,67.50,2008-03-02 12:32:06
1389,1475,16114,5509,8253,1887,4,752.00,112.80,2008-03-02 01:58:37
1478,1560,29825,437,530,1887,4,660.00,99.00,2008-03-02 09:44:00
2228,2397,28246,12333,2814,1887,3,267.00,40.05,2008-03-02 06:40:47
2765,2966,2645,31276,6127,1887,1,87.00,13.05,2008-03-02 09:43:14
3093,3314,36103,6445,2948,1887,2,50.00,7.50,2008-03-02 02:07:15
59,64,18073,10515,5872,1888,3,264.00,39.60,2008-03-03 03:47:06
1528,1620,25116,1173,1101,1888,2,482.00,72.30,2008-03-03 01:47:52
1788,1903,42505,18429,2645,1888,1,53.00,7.95,2008-03-03 06:10:16
2869,3065,48246,3394,6784,1888,2,488.00,73.20,2008-03-03 03:19:20
3007,3202,42731,220,4969,1888,2,112.00,16.80,2008-03-03 09:30:04
82,106,12538,11301,250,1889,2,218.00,32.70,2008-03-04 11:26:14
250,260,12976,220,8101,1889,2,250.00,37.50,2008-03-04 09:33:00
311,312,12828,314,567,1889,4,644.00,96.60,2008-03-04 07:42:45
1545,1642,27840,8297,6953,1889,1,160.00,24.00,2008-03-04 03:08:36
3008,3202,42731,1648,4969,1889,1,56.00,8.40,2008-03-04 09:30:41
797,817,35183,19517,6805,1890,2,178.00,26.70,2008-03-05 03:22:11
1220,1280,16209,15211,3887,1890,1,75.00,11.25,2008-03-05 02:49:30
1904,2040,49765,7351,1797,1890,2,60.00,9.00,2008-03-05 12:23:26
2974,3168,32010,24210,5687,1890,2,156.00,23.40,2008-03-05 07:50:57
200,214,31484,8935,3272,1891,2,474.00,71.10,2008-03-06 02:18:11
231,238,8356,24628,6052,1891,4,900.00,135.00,2008-03-06 06:05:02
1130,1174,5273,25617,1752,1891,2,450.00,67.50,2008-03-06 08:07:38
2401,2563,48255,6387,8253,1891,2,174.00,26.10,2008-03-06 03:59:32
2513,2687,29895,35846,722,1891,2,388.00,58.20,2008-03-06 10:22:06
2514,2687,29895,36528,722,1891,1,194.00,29.10,2008-03-06 10:22:06
2785,2986,25236,10390,30,1891,1,174.00,26.10,2008-03-06 10:45:35
3495,3767,27100,42525,5687,1891,2,372.00,55.80,2008-03-06 06:45:20
1717,1828,1402,44241,2350,1892,1,153.00,22.95,2008-03-07 01:48:31
362,355,34852,25288,6387,1893,4,392.00,58.80,2008-03-08 02:23:33
570,577,40956,46,3623,1893,2,90.00,13.50,2008-03-08 03:04:47
1626,1740,12837,1645,4167,1893,1,173.00,25.95,2008-03-08 07:23:34
2467,2642,5094,36460,7147,1893,1,204.00,30.60,2008-03-08 07:41:42
3034,3239,10016,13901,7912,1893,2,494.00,74.10,2008-03-08 10:26:17
3309,3578,24617,11952,8235,1893,2,374.00,56.10,2008-03-08 11:14:43
12,13,30606,9633,2147,1894,2,344.00,51.60,2008-03-09 03:18:56
458,457,6496,10920,6953,1894,2,60.00,9.00,2008-03-09 02:47:27
975,986,27374,21820,880,1894,1,90.00,13.50,2008-03-09 06:39:05
1219,1280,16209,18592,3887,1894,4,300.00,45.00,2008-03-09 02:45:40
