listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
89840,1140,5457,1827,1,40.00,40.00,2008-01-01 10:42:12
97320,16392,7990,1827,6,164.00,984.00,2008-01-01 04:29:47
103953,23374,8659,1827,14,217.00,3038.00,2008-01-01 10:12:57
111922,47273,2258,1827,12,436.00,5232.00,2008-01-01 02:55:34
117753,46723,930,1827,16,116.00,1856.00,2008-01-01 09:57:02
126927,39347,6442,1827,3,409.00,1227.00,2008-01-01 02:24:48
133505,13170,7593,1827,22,283.00,6226.00,2008-01-01 07:15:21
143557,28183,2000,1827,20,239.00,4780.00,2008-01-01 06:13:55
77777,14790,6849,1828,6,48.00,288.00,2008-01-02 09:41:31
85902,8393,5106,1828,22,476.00,10472.00,2008-01-02 12:15:22
88956,13156,7039,1828,12,494.00,5928.00,2008-01-02 06:41:55
93546,10555,6152,1828,2,101.00,202.00,2008-01-02 09:49:46
98777,29989,3919,1828,2,128.00,256.00,2008-01-02 10:12:32
107391,27523,5598,1828,3,68.00,204.00,2008-01-02 08:11:38
120367,34095,1268,1828,22,206.00,4532.00,2008-01-02 02:05:48
125800,31119,5214,1828,5,448.00,2240.00,2008-01-02 05:39:55
131852,18717,3884,1828,3,351.00,1053.00,2008-01-02 10:51:58
135088,3235,743,1828,2,437.00,874.00,2008-01-02 10:19:29
146839,42967,1376,1827,24,93.00,2232.00,2008-01-01 12:37:20
153921,24983,7492,1827,10,60.00,600.00,2008-01-01 12:25:47
162428,683,2360,1827,5,377.00,1885.00,2008-01-01 01:14:34
173969,48680,8762,1827,16,344.00,5504.00,2008-01-01 10:01:08
205074,43397,5747,1827,2,2486.00,4972.00,2008-01-01 11:22:08
210867,16101,8368,1827,8,933.00,7464.00,2008-01-01 02:22:44
219590,11445,4244,1827,5,2153.00,10765.00,2008-01-01 12:41:26
224911,3677,3449,1827,7,411.00,2877.00,2008-01-01 11:02:33
233544,296,1584,1827,2,1071.00,2142.00,2008-01-01 04:56:35
4380,1911,8328,1828,30,126.00,3780.00,2008-01-02 07:33:45
140654,25428,3180,1828,6,195.00,1170.00,2008-01-02 04:40:35
146470,11871,3176,1828,12,154.00,1848.00,2008-01-02 10:52:56
153594,19204,6717,1828,8,404.00,3232.00,2008-01-02 03:51:19
157241,639,4091,1828,8,403.00,3224.00,2008-01-02 11:46:31
166749,1303,7002,1828,12,196.00,2352.00,2008-01-02 08:53:58
174855,5775,4105,1828,24,436.00,10464.00,2008-01-02 11:28:30
206255,16656,5554,1828,8,1979.00,15832.00,2008-01-02 12:52:57
212027,44575,7358,1828,2,1808.00,3616.00,2008-01-02 02:01:48
216347,21763,4556,1828,6,1684.00,10104.00,2008-01-02 05:51:05
223019,17587,4635,1828,8,2299.00,18392.00,2008-01-02 12:48:37
10970,31450,7546,1828,1,105.00,105.00,2008-01-02 06:59:22
21092,43695,4875,1828,7,120.00,840.00,2008-01-02 05:31:32
28515,19921,5112,1828,24,29.00,696.00,2008-01-02 12:15:29
34794,40413,8064,1828,24,197.00,4728.00,2008-01-02 02:57:41
41122,5160,251,1828,7,255.00,1785.00,2008-01-02 06:38:00
45570,18692,4650,1828,18,30.00,540.00,2008-01-02 04:23:57
55853,26544,903,1828,10,156.00,1560.00,2008-01-02 07:41:00
63585,29262,5841,1828,24,81.00,1944.00,2008-01-02 02:06:21
68564,35616,8095,1828,3,56.00,168.00,2008-01-02 05:44:49
73287,26854,6448,1828,12,75.00,900.00,2008-01-02 01:23:20
80032,20691,5069,1828,18,320.00,5760.00,2008-01-02 07:32:35
233537,32175,5193,1828,5,1785.00,8925.00,2008-01-02 07:08:27
4126,49700,8502,1829,7,174.00,1218.00,2008-01-03 11:45:19
10982,16853,559,1829,14,50.00,700.00,2008-01-03 11:20:35
16803,8873,6719,1829,22,148.00,3256.00,2008-01-03 05:03:19
24384,43659,958,1829,26,190.00,4940.00,2008-01-03 02:28:32
29416,891,5767,1829,28,183.00,5124.00,2008-01-03 06:33:15
36632,13543,4486,1829,2,183.00,366.00,2008-01-03 12:03:02
40978,38811,2090,1829,2,154.00,308.00,2008-01-03 10:06:19
47302,49547,6721,1829,9,191.00,1719.00,2008-01-03 10:17:26
51004,37892,8278,1829,9,24.00,216.00,2008-01-03 09:47:34
83897,37049,5156,1828,10,186.00,1860.00,2008-01-02 06:44:39
89557,14472,4901,1828,4,253.00,1012.00,2008-01-02 01:04:46
96187,6482,307,1828,2,54.00,108.00,2008-01-02 04:23:04
108376,7013,6385,1828,6,419.00,2514.00,2008-01-02 10:25:35
112706,38994,3772,1828,20,296.00,5920.00,2008-01-02 02:49:17
118720,25969,548,1828,3,140.00,420.00,2008-01-02 11:40:05
125952,23996,3236,1828,5,346.00,1730.00,2008-01-02 02:55:12
138212,28477,5084,1828,6,126.00,756.00,2008-01-02 02:25:49
143445,12501,804,1828,18,472.00,8496.00,2008-01-02 06:28:00
154965,41936,4478,1828,2,491.00,982.00,2008-01-02 01:50:39
160490,1149,5600,1828,2,335.00,670.00,2008-01-02 05:11:53
68843,15238,3180,1829,6,65.00,390.00,2008-01-03 02:35:29
72846,44087,4811,1829,12,46.00,552.00,2008-01-03 08:42:10
77151,48470,8701,1829,8,260.00,2080.00,2008-01-03 07:00:43
84287,47181,3117,1829,9,244.00,2196.00,2008-01-03 06:01:53
90464,10725,7096,1829,24,275.00,6600.00,2008-01-03 11:25:47
95502,44472,834,1829,8,313.00,2504.00,2008-01-03 08:35:47
103904,17463,7198,1829,3,181.00,543.00,2008-01-03 12:05:54
108201,7118,5309,1829,16,375.00,6000.00,2008-01-03 01:13:57
114946,32134,1315,1829,7,214.00,1498.00,2008-01-03 11:38:46
118797,24631,4595,1829,2,268.00,536.00,2008-01-03 11:05:56
163189,12773,4342,1828,12,176.00,2112.00,2008-01-02 07:54:18
172644,10188,76,1828,7,374.00,2618.00,2008-01-02 07:05:06
205017,45179,7990,1828,2,2313.00,4626.00,2008-01-02 02:25:43
209938,11199,8458,1828,2,364.00,728.00,2008-01-02 03:56:50
214139,25600,3117,1828,2,1928.00,3856.00,2008-01-02 11:40:14
222511,2012,1102,1828,8,1470.00,11760.00,2008-01-02 01:08:41
227755,3988,4113,1828,2,2125.00,4250.00,2008-01-02 07:04:30
232567,39756,5459,1828,4,1999.00,7996.00,2008-01-02 07:28:06
4163,11835,2618,1829,2,94.00,188.00,2008-01-03 11:13:25
7937,11449,3590,1829,3,212.00,636.00,2008-01-03 01:50:26
123730,5660,4595,1829,8,38.00,304.00,2008-01-03 01:13:35
134170,20087,8547,1829,8,362.00,2896.00,2008-01-03 02:17:54
139784,32491,7517,1829,22,330.00,7260.00,2008-01-03 11:38:29
147034,48254,6901,1829,3,152.00,456.00,2008-01-03 01:12:28
155110,9620,5071,1829,14,88.00,1232.00,2008-01-03 02:50:22
160788,48539,4089,1829,2,55.00,110.00,2008-01-03 08:34:12
164855,3132,3223,1829,4,223.00,892.00,2008-01-03 09:51:17
174214,38707,7914,1829,4,199.00,796.00,2008-01-03 04:47:12
207592,44123,6415,1829,8,1736.00,13888.00,2008-01-03 01:45:26
218903,23404,5462,1829,3,2189.00,6567.00,2008-01-03 06:16:50
11400,5548,2071,1829,2,128.00,256.00,2008-01-03 10:00:20
19074,19944,3246,1829,26,131.00,3406.00,2008-01-03 12:16:42
27500,8571,5417,1829,2,185.00,370.00,2008-01-03 10:02:38
33507,11114,3559,1829,18,243.00,4374.00,2008-01-03 11:35:15
40293,3186,1350,1829,6,25.00,150.00,2008-01-03 02:10:01
47196,39818,6977,1829,12,336.00,4032.00,2008-01-03 03:52:48
52234,12980,6415,1829,2,343.00,686.00,2008-01-03 04:38:34
59054,3445,2402,1829,6,239.00,1434.00,2008-01-03 06:10:00
67169,19430,2376,1829,22,480.00,10560.00,2008-01-03 03:37:43
72496,27723,4924,1829,1,420.00,420.00,2008-01-03 02:48:57
74825,3936,2357,1829,1,255.00,255.00,2008-01-03 09:03:06
231514,8425,1242,1829,8,1781.00,14248.00,2008-01-03 12:33:15
5345,29609,8745,1830,1,167.00,167.00,2008-01-04 02:14:36
11158,14532,750,1830,2,76.00,152.00,2008-01-04 01:31:08
14913,49018,3587,1830,1,59.00,59.00,2008-01-04 06:50:52
19857,42567,5653,1830,8,217.00,1736.00,2008-01-04 05:04:00
31975,46162,5839,1830,5,318.00,1590.00,2008-01-04 03:53:01
40398,29457,2388,1830,14,109.00,1526.00,2008-01-04 04:37:37
50605,6256,2345,1830,5,243.00,1215.00,2008-01-04 03:49:51
61119,12638,942,1830,16,327.00,5232.00,2008-01-04 08:22:12
65128,45783,7430,1830,8,464.00,3712.00,2008-01-04 05:51:05
78930,49666,5338,1829,22,23.00,506.00,2008-01-03 09:02:31
86678,27312,6405,1829,1,340.00,340.00,2008-01-03 07:56:33
93822,18904,4436,1829,24,425.00,10200.00,2008-01-03 06:07:01
99044,15022,8793,1829,14,362.00,5068.00,2008-01-03 08:02:41
105682,5673,5392,1829,5,406.00,2030.00,2008-01-03 02:34:47
110013,36621,2832,1829,7,94.00,658.00,2008-01-03 05:35:49
115084,17029,1981,1829,24,167.00,4008.00,2008-01-03 07:58:46
125393,27935,3494,1829,7,348.00,2436.00,2008-01-03 08:36:16
130188,29745,81,1829,24,24.00,576.00,2008-01-03 10:11:55
138983,44307,1641,1829,2,332.00,664.00,2008-01-03 02:52:09
144613,22976,2596,1829,16,456.00,7296.00,2008-01-03 10:33:46
78835,28594,115,1830,1,196.00,196.00,2008-01-04 05:06:33
89206,15579,8618,1830,12,335.00,4020.00,2008-01-04 05:32:10
95532,8842,838,1830,22,248.00,5456.00,2008-01-04 08:37:13
101798,20742,3960,1830,16,108.00,1728.00,2008-01-04 04:44:42
108536,49392,6746,1830,1,365.00,365.00,2008-01-04 08:58:41
112686,1595,1038,1830,2,362.00,724.00,2008-01-04 06:22:36
121656,17033,8791,1830,8,319.00,2552.00,2008-01-04 08:36:20
126378,10628,5573,1830,7,218.00,1526.00,2008-01-04 05:09:55
131761,11824,363,1830,24,245.00,5880.00,2008-01-04 05:43:29
140404,13136,6151,1830,1,44.00,44.00,2008-01-04 01:47:51
148396,5263,2832,1829,8,91.00,728.00,2008-01-03 09:34:37
155523,24429,2609,1829,5,291.00,1455.00,2008-01-03 12:40:05
163871,31945,5056,1829,6,449.00,2694.00,2008-01-03 04:19:45
170622,15306,2477,1829,22,278.00,6116.00,2008-01-03 06:19:32
177767,2439,2932,1829,2,353.00,706.00,2008-01-03 12:14:25
206186,12145,4929,1829,6,1285.00,7710.00,2008-01-03 10:21:20
211910,38475,7060,1829,5,1654.00,8270.00,2008-01-03 07:26:16
220680,17244,2421,1829,8,1959.00,15672.00,2008-01-03 02:38:18
227407,32504,750,1829,5,1158.00,5790.00,2008-01-03 05:21:52
233809,34489,5598,1829,4,2207.00,8828.00,2008-01-03 02:53:15
147664,37357,433,1830,2,383.00,766.00,2008-01-04 03:51:48
158195,16702,2919,1830,24,127.00,3048.00,2008-01-04 12:57:18
169223,891,3871,1830,9,176.00,1584.00,2008-01-04 08:57:17
176337,33836,754,1830,16,23.00,368.00,2008-01-04 08:06:54
209160,10238,3620,1830,4,1163.00,4652.00,2008-01-04 03:42:19
216981,23200,2328,1830,4,2340.00,9360.00,2008-01-04 12:59:50
223710,11274,3793,1830,6,1540.00,9240.00,2008-01-04 11:38:46
229665,8189,7994,1830,3,1336.00,4008.00,2008-01-04 02:41:58
2348,21523,2273,1831,5,40.00,200.00,2008-01-05 03:49:43
9499,36196,7703,1831,7,234.00,1638.00,2008-01-05 04:53:07
942,20265,464,1830,10,151.00,1510.00,2008-01-04 03:05:46
5964,16861,5462,1830,20,124.00,2480.00,2008-01-04 04:37:31
11564,42000,6653,1830,6,102.00,612.00,2008-01-04 05:21:18
23319,5768,7198,1830,1,164.00,164.00,2008-01-04 04:05:18
30770,18357,597,1830,22,238.00,5236.00,2008-01-04 09:21:28
39465,30397,7122,1830,16,158.00,2528.00,2008-01-04 08:25:28
47772,49817,1338,1830,22,288.00,6336.00,2008-01-04 06:33:46
51294,23414,4791,1830,5,37.00,185.00,2008-01-04 08:34:33
57317,28506,6900,1830,7,87.00,609.00,2008-01-04 03:34:18
68744,33364,7039,1830,5,278.00,1390.00,2008-01-04 03:09:14
74718,7826,3821,1830,16,418.00,6688.00,2008-01-04 12:23:46
21969,26900,1014,1831,12,192.00,2304.00,2008-01-05 03:52:20
29212,30131,4894,1831,24,233.00,5592.00,2008-01-05 08:09:11
35720,47053,6648,1831,1,165.00,165.00,2008-01-05 06:48:43
43002,13681,6716,1831,12,164.00,1968.00,2008-01-05 10:12:26
47593,37495,5814,1831,2,38.00,76.00,2008-01-05 07:04:01
56509,41482,6752,1831,4,225.00,900.00,2008-01-05 03:37:03
62938,33617,5468,1831,10,321.00,3210.00,2008-01-05 07:21:19
74690,33712,2901,1831,7,271.00,1897.00,2008-01-05 02:13:33
85391,26509,1724,1831,20,268.00,5360.00,2008-01-05 12:43:25
91142,29659,5668,1831,8,213.00,1704.00,2008-01-05 02:16:41
77634,42186,2026,1830,9,100.00,900.00,2008-01-04 11:09:05
86908,14416,2037,1830,10,282.00,2820.00,2008-01-04 08:45:26
94060,12648,3509,1830,20,486.00,9720.00,2008-01-04 12:46:06
98251,31136,3380,1830,10,245.00,2450.00,2008-01-04 08:58:09
108760,743,6901,1830,8,227.00,1816.00,2008-01-04 05:43:52
116434,34988,7434,1830,1,277.00,277.00,2008-01-04 10:03:06
125029,38132,2088,1830,10,110.00,1100.00,2008-01-04 07:06:53
131549,14433,433,1830,2,357.00,714.00,2008-01-04 05:23:24
144439,37349,8157,1830,3,308.00,924.00,2008-01-04 07:51:57
149504,39363,4892,1830,2,303.00,606.00,2008-01-04 06:17:48
94380,31029,1812,1831,7,127.00,889.00,2008-01-05 07:14:58
99855,934,3474,1831,5,59.00,295.00,2008-01-05 03:18:43
107119,39198,1673,1831,4,444.00,1776.00,2008-01-05 12:34:01
117020,42160,8359,1831,9,416.00,3744.00,2008-01-05 04:22:43
128838,35145,3900,1831,6,205.00,1230.00,2008-01-05 02:45:57
136575,48848,8723,1831,1,443.00,443.00,2008-01-05 04:15:18
144804,35302,2045,1831,3,445.00,1335.00,2008-01-05 04:23:30
155378,16473,3187,1831,1,104.00,104.00,2008-01-05 10:05:12
162287,43275,6213,1831,10,341.00,3410.00,2008-01-05 09:43:19
167346,10672,1935,1831,20,410.00,8200.00,2008-01-05 05:43:34
173164,27952,7944,1831,16,477.00,7632.00,2008-01-05 04:46:39
163816,45815,6385,1830,20,37.00,740.00,2008-01-04 05:52:36
169337,31683,351,1830,16,30.00,480.00,2008-01-04 02:55:45
176154,17519,7332,1830,12,443.00,5316.00,2008-01-04 11:27:38
181346,33633,3906,1830,8,422.00,3376.00,2008-01-04 06:15:16
213013,34207,834,1830,7,611.00,4277.00,2008-01-04 05:22:35
220065,27471,5108,1830,3,2053.00,6159.00,2008-01-04 10:04:08
229906,34914,2472,1830,8,476.00,3808.00,2008-01-04 12:36:55
1846,36751,7061,1831,22,129.00,2838.00,2008-01-05 10:38:25
8859,4024,7827,1831,18,95.00,1710.00,2008-01-05 06:09:25
18996,2697,8445,1831,1,99.00,99.00,2008-01-05 01:07:04
178418,4808,8737,1831,24,486.00,11664.00,2008-01-05 04:38:53
211864,38067,4728,1831,1,2236.00,2236.00,2008-01-05 05:16:33
218196,36355,8139,1831,2,1251.00,2502.00,2008-01-05 11:29:45
225196,3560,5863,1831,5,1294.00,6470.00,2008-01-05 04:53:03
232743,37351,2004,1831,4,477.00,1908.00,2008-01-05 09:42:18
6947,34231,3497,1832,9,97.00,873.00,2008-01-06 12:54:43
11031,26624,5447,1832,14,91.00,1274.00,2008-01-06 09:14:27
24197,10907,287,1832,2,23.00,46.00,2008-01-06 06:35:28
33025,14750,7428,1832,20,153.00,3060.00,2008-01-06 04:39:51
37487,14446,5527,1832,9,349.00,3141.00,2008-01-06 10:00:45
21441,36482,852,1831,9,110.00,990.00,2008-01-05 10:26:00
25708,15585,181,1831,24,100.00,2400.00,2008-01-05 11:00:53
36230,45280,654,1831,12,86.00,1032.00,2008-01-05 07:03:38
45088,37083,2060,1831,18,173.00,3114.00,2008-01-05 06:28:15
48563,23073,8614,1831,8,330.00,2640.00,2008-01-05 04:54:26
55610,28426,4385,1831,16,257.00,4112.00,2008-01-05 06:28:49
62097,14657,4382,1831,2,367.00,734.00,2008-01-05 12:49:39
71275,41248,2563,1831,4,325.00,1300.00,2008-01-05 01:36:04
76750,1557,6625,1831,3,498.00,1494.00,2008-01-05 01:23:06
87544,39567,4100,1831,10,43.00,430.00,2008-01-05 07:52:14
93745,47345,7499,1831,20,121.00,2420.00,2008-01-05 10:04:11
48865,33542,2180,1832,12,56.00,672.00,2008-01-06 11:17:56
52444,12938,415,1832,16,35.00,560.00,2008-01-06 12:10:42
64145,42878,6647,1832,22,394.00,8668.00,2008-01-06 07:19:30
72160,5672,4730,1832,4,24.00,96.00,2008-01-06 06:52:24
77214,49490,7024,1832,14,480.00,6720.00,2008-01-06 02:10:20
81142,20032,8490,1832,20,145.00,2900.00,2008-01-06 04:11:48
88326,13451,5883,1832,12,286.00,3432.00,2008-01-06 05:37:43
94709,18247,4221,1832,10,85.00,850.00,2008-01-06 03:17:34
97281,45293,363,1832,20,179.00,3580.00,2008-01-06 05:03:16
104633,30222,2337,1832,10,326.00,3260.00,2008-01-06 11:20:41
97531,22445,8396,1831,5,296.00,1480.00,2008-01-05 04:33:12
101512,46015,3834,1831,1,459.00,459.00,2008-01-05 11:46:37
107964,26739,2106,1831,9,354.00,3186.00,2008-01-05 01:57:01
115599,48773,5936,1831,7,348.00,2436.00,2008-01-05 03:08:54
120797,8247,4734,1831,9,273.00,2457.00,2008-01-05 04:28:20
128551,32169,688,1831,4,390.00,1560.00,2008-01-05 05:04:14
135931,8090,5507,1831,2,114.00,228.00,2008-01-05 03:13:01
143648,14133,5084,1831,10,101.00,1010.00,2008-01-05 04:11:37
147265,30828,6966,1831,5,459.00,2295.00,2008-01-05 06:38:22
158742,35236,2163,1831,12,304.00,3648.00,2008-01-05 08:50:16
108407,35177,4358,1832,14,400.00,5600.00,2008-01-06 01:40:44
115102,49615,4875,1832,16,253.00,4048.00,2008-01-06 07:56:49
123354,17526,6544,1832,12,430.00,5160.00,2008-01-06 04:15:04
131153,630,8052,1832,3,175.00,525.00,2008-01-06 07:45:31
137911,565,3969,1832,14,137.00,1918.00,2008-01-06 12:49:39
145560,19915,5644,1832,14,331.00,4634.00,2008-01-06 05:50:12
153152,37250,8753,1832,14,341.00,4774.00,2008-01-06 04:47:38
163325,24028,8298,1832,22,401.00,8822.00,2008-01-06 12:19:56
175942,15304,4555,1832,6,326.00,1956.00,2008-01-06 09:01:18
181451,19426,383,1832,24,137.00,3288.00,2008-01-06 05:51:56
211189,46519,7839,1832,8,1749.00,13992.00,2008-01-06 12:57:57
169744,1960,1274,1831,14,436.00,6104.00,2008-01-05 05:14:03
176002,40917,7529,1831,7,465.00,3255.00,2008-01-05 11:39:24
205961,11127,1197,1831,6,1956.00,11736.00,2008-01-05 02:36:42
212517,45815,6632,1831,2,1820.00,3640.00,2008-01-05 01:04:39
219527,26284,2121,1831,1,2450.00,2450.00,2008-01-05 08:54:43
229615,44368,6994,1831,5,2099.00,10495.00,2008-01-05 04:57:22
994,30242,1400,1832,5,71.00,355.00,2008-01-06 10:31:33
5572,48899,6364,1832,5,203.00,1015.00,2008-01-06 09:11:20
18445,19270,1038,1832,14,240.00,3360.00,2008-01-06 08:42:05
25118,47861,6442,1832,9,32.00,288.00,2008-01-06 09:53:30
215632,33865,7122,1832,5,2130.00,10650.00,2008-01-06 06:44:49
223782,19115,3236,1832,6,1670.00,10020.00,2008-01-06 07:46:06
233429,21855,2097,1832,4,1150.00,4600.00,2008-01-06 04:35:58
6420,34130,1863,1833,2,140.00,280.00,2008-01-07 09:52:13
17839,31694,563,1833,9,210.00,1890.00,2008-01-07 01:17:10
21911,5757,5590,1833,5,123.00,615.00,2008-01-07 01:25:35
32873,41622,5696,1833,22,159.00,3498.00,2008-01-07 06:57:27
39450,29828,8541,1833,6,71.00,426.00,2008-01-07 01:52:16
44017,35300,8009,1833,14,328.00,4592.00,2008-01-07 02:03:28
49176,33211,343,1833,5,303.00,1515.00,2008-01-07 12:15:58
32420,8141,6091,1832,3,242.00,726.00,2008-01-06 09:05:35
42791,49833,8649,1832,5,183.00,915.00,2008-01-06 08:32:43
50593,29245,2071,1832,2,87.00,174.00,2008-01-06 11:04:26
55836,34,525,1832,20,276.00,5520.00,2008-01-06 04:34:41
60276,7458,2347,1832,18,221.00,3978.00,2008-01-06 11:00:54
66141,20970,4829,1832,18,395.00,7110.00,2008-01-06 01:58:02
73176,30465,1209,1832,6,279.00,1674.00,2008-01-06 07:10:02
80199,22304,7363,1832,8,143.00,1144.00,2008-01-06 03:08:56
90684,39167,2197,1832,20,333.00,6660.00,2008-01-06 10:13:21
97302,30556,4185,1832,9,317.00,2853.00,2008-01-06 01:47:51
103158,27158,2609,1832,8,56.00,448.00,2008-01-06 02:59:05
64343,37376,2782,1833,10,202.00,2020.00,2008-01-07 05:11:01
68156,44047,4577,1833,9,452.00,4068.00,2008-01-07 10:25:53
73440,5113,5888,1833,22,346.00,7612.00,2008-01-07 07:33:26
80447,30007,8795,1833,22,319.00,7018.00,2008-01-07 04:06:46
85606,8565,5457,1833,2,362.00,724.00,2008-01-07 11:11:26
90882,20275,5542,1833,14,264.00,3696.00,2008-01-07 03:05:38
98956,34749,6295,1833,16,380.00,6080.00,2008-01-07 11:01:11
107794,18206,4226,1833,7,465.00,3255.00,2008-01-07 06:50:21
111812,6709,1622,1833,1,424.00,424.00,2008-01-07 07:17:39
120508,31710,2904,1833,12,488.00,5856.00,2008-01-07 06:34:16
110050,21788,8603,1832,10,78.00,780.00,2008-01-06 03:22:43
122659,23917,7422,1832,7,446.00,3122.00,2008-01-06 01:49:25
130901,22803,1995,1832,20,138.00,2760.00,2008-01-06 05:25:25
138354,44103,2357,1832,10,253.00,2530.00,2008-01-06 04:30:19
144709,39769,8788,1832,12,289.00,3468.00,2008-01-06 03:57:13
150066,5298,8345,1832,22,380.00,8360.00,2008-01-06 08:44:13
160176,19811,3282,1832,7,415.00,2905.00,2008-01-06 10:09:49
165656,654,6756,1832,16,205.00,3280.00,2008-01-06 07:58:17
170561,15275,2618,1832,10,496.00,4960.00,2008-01-06 04:16:28
174582,5483,6213,1832,24,266.00,6384.00,2008-01-06 02:28:55
124908,30397,5517,1833,14,81.00,1134.00,2008-01-07 05:05:38
130019,22924,3209,1833,16,105.00,1680.00,2008-01-07 07:53:38
136787,43411,2693,1833,3,291.00,873.00,2008-01-07 12:10:56
142985,18398,1745,1833,2,36.00,72.00,2008-01-07 01:40:35
149030,10989,3025,1833,5,266.00,1330.00,2008-01-07 04:23:30
155422,10006,2638,1833,10,159.00,1590.00,2008-01-07 10:46:45
162794,12183,4991,1833,10,244.00,2440.00,2008-01-07 06:50:54
169315,14813,7721,1833,8,129.00,1032.00,2008-01-07 07:08:02
173448,26851,1811,1833,4,371.00,1484.00,2008-01-07 05:27:44
180354,18227,3625,1833,9,154.00,1386.00,2008-01-07 04:39:09
209042,32954,7923,1833,7,1722.00,12054.00,2008-01-07 02:22:22
211349,48902,5112,1832,1,1950.00,1950.00,2008-01-06 01:26:11
220090,1243,7111,1832,2,1256.00,2512.00,2008-01-06 11:00:25
224170,561,5607,1832,2,1030.00,2060.00,2008-01-06 08:14:15
232621,35325,7872,1832,2,1930.00,3860.00,2008-01-06 10:19:37
2225,24913,636,1833,14,107.00,1498.00,2008-01-07 01:33:12
7304,26478,1150,1833,20,38.00,760.00,2008-01-07 01:51:00
13570,46176,4837,1833,3,75.00,225.00,2008-01-07 09:22:02
17756,15422,1096,1833,18,248.00,4464.00,2008-01-07 08:28:25
